"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"245","g","Zeitabschnitt","Zeitabschnitt","0","0","0","","0","","","","","0","FA","","","","9999","0"
"245","h","Medium","Medium","0","0","0","","0","","","","","0","FA","","","","9999","0"
"245","k","Form","Form","1","0","0","","0","","","","","0","FA","","","","9999","0"
"245","n","Zählung des Teils/der Abteilung eines Werkes","Zählung des Teils/der Abteilung eines Werkes","1","0","0","biblio.part_number","0","","","","","0","FA","","","","9999","0"
"245","p","Titel eines Teils/einer Abteilung eines Werkes","Titel eines Teils/einer Abteilung eines Werkes","1","0","0","biblio.part_name","0","","","","","0","FA","","","","9999","0"
"245","s","Version","Version","0","0","0","","0","","","","","0","FA","","","","9999","0"
"250","3","Spezifische Materialangaben","Spezifische Materialangaben","0","0","0","","0","","","","","-6","FA","","","","9999","0"
"250","6","Verknüpfung","Verknüpfung","0","0","0","","0","","","","","0","FA","","","","9999","0"
"250","8","Feldverknüpfung und Reihenfolge","Feldverknüpfung und Reihenfolge","1","0","0","","0","","","","","0","FA","","","","9999","0"
"250","a","Ausgabebezeichnung","Ausgabebezeichnung","0","0","0","biblioitems.editionstatement","0","","","","","0","FA","","","","9999","0"
"250","b","Zusatz zur Ausgabebezeichnung","Zusatz zur Ausgabebezeichnung","0","0","0","","0","","","","","0","FA","","","","9999","0"
"260","3","Spezifische Materialangaben","Spezifische Materialangaben","0","0","0","","0","","","","","-6","FA","","","","9999","0"
"260","6","Verknüpfung","Verknüpfung","0","0","0","","0","","","","","0","FA","","","","9999","0"
"260","8","Feldverknüpfung und Reihenfolge","Feldverknüpfung und Reihenfolge","1","0","0","","0","","","","","0","FA","","","","9999","0"
"260","a","Erscheinungsort, Vertriebsort etc.","Erscheinungsort, Vertriebsort etc.","1","0","0","biblioitems.place","0","","","","","0","FA","","","","9999","0"
"260","b","Name des Verlags, des Vertriebs etc.","Name des Verlags, des Vertriebs etc.","1","0","0","biblioitems.publishercode","0","","","","","0","FA","","","","9999","0"
"260","c","Erscheinungsjahr, Vertriebsjahr etc.","Erscheinungsjahr, Vertriebsjahr etc.","1","0","0","biblio.copyrightdate","0","","","","","0","FA","","","","9999","0"
"260","d","Plate or publisher's number for music (Pre-AACR 2) [OBSOLETE, CAN/MARC], [LOCAL, USA]","Plate or publisher's number for music (Pre-AACR 2) [OBSOLETE, CAN/MARC], [LOCAL, USA]","0","0","0","","0","","","","","0","FA","","","","9999","0"
"260","e","Ort der Herstellerfirma","Ort der Herstellerfirma","1","0","0","","0","","","","","0","FA","","","","9999","0"
